term,category
최애 (Bias),General
차애 (Bias Wrecker),General
입덕 (Stan / Becoming a fan),General
탈덕 (Leaving the fandom),General
성덕 (Successful Fan),General
휴덕 (Hiatus from fandom),General
늦덕 (Late stan),General
잡덕 (Multi-stan),General
머글 (Muggle / Non-Kpop fan),General
일코 (Ilco / Hiding fandom),General
안방 1열 (Front row at home),General
덕계못 (Fans can't get lucky),General
어덕행덕 (Fan happily),General
현생 (Real life),General
혐생 (Hated real life),General
덕질 (Fangirling/Fanboying),General
스밍 (Streaming),Activity
총공 (Mass streaming/voting),Activity
조공 (Fan gifts),Activity
역조공 (Gifts from idol),Activity
피켓팅 (Blood Ticketing),Activity
용병 (Ticketing Mercenary),Activity
취켓팅 (Cancelled Ticket Hunting),Activity
포도알 (Available Seat),Activity
이선좌 (Already Selected Seat),Activity
막콘 (Last Concert),Event
첫콘 (First Concert),Event
중콘 (Middle Concert),Event
올콘 (All Concerts),Event
팬싸 (Fansign),Event
영통팬싸 (Video Call Fansign),Event
대면팬싸 (Offline Fansign),Event
쇼케 (Showcase),Event
공방 (Public Broadcast),Event
사녹 (Pre-recording),Event
본방사수 (Watch live broadcast),Event
직캠 (Fancam),Content
얼빡샷 (Extreme Close-up),Content
움짤 (GIF),Content
떡밥 (Content/Bait),Content
자컨 (Self-produced Content),Content
비하인드 (Behind the scenes),Content
티저 (Teaser),Content
뮤비 (MV / Music Video),Content
안무영상 (Dance Practice),Content
엔딩요정 (Ending Fairy),Content
킬링파트 (Killing Part),Content
도입부 장인 (Intro Master),Member
음색 깡패 (Vocal Gangster),Member
춤선 (Dance Line),Member
칼군무 (Razor-sharp Dance),Performance
떼창 (Sing-along),Performance
응원법 (Fanchant),Performance
팬미팅 (Fan Meeting),Event
시즈니 (NCTzen),Fandom Name
아미 (ARMY),Fandom Name
캐럿 (Carat),Fandom Name
스테이 (STAY),Fandom Name
모아 (MOA),Fandom Name
엔진 (ENGENE),Fandom Name
마이 (MY),Fandom Name
다이브 (DIVE),Fandom Name
버니즈 (Bunnies),Fandom Name
블링크 (BLINK),Fandom Name
원스 (ONCE),Fandom Name
믿듣 (Trust and Listen),Slang
반전매력 (Twist Charm),Slang
비주얼 (Visual),Slang
피지컬 (Physical),Slang
막내온탑 (Maknae on Top),Slang
맏내 (Matnae / Fake Maknae),Slang
센터 (Center),Position
리더 (Leader),Position
메보 (Main Vocal),Position
메댄 (Main Dancer),Position
올라운더 (All-rounder),Position
연생 (Trainee),General
데뷔 (Debut),General
컴백 (Comeback),General
막방 (Last Broadcast),Activity
활동기 (Promotion Period),Activity
공백기 (Hiatus Period),Activity
군백기 (Military Hiatus),Activity
7년 징크스 (7-Year Jinx),Culture
재계약 (Contract Renewal),Culture
해체 (Disbandment),Culture
소속사 (Agency/Company),Culture
사생 (Sasaeng),Culture
악개 (Akgae / Solo Stan),Culture
까빠 (Hater-Fan),Culture
홈마 (Homma / Fansite Master),Culture
탑꾸 (Toploader Deco),Merch
폴꾸 (Polco / Polaroid Deco),Merch
다꾸 (Diary Deco),Merch
포카 (Photo Card),Merch
미공포 (Unreleased Photo Card),Merch
럭드 (Lucky Draw),Merch
앨깡 (Album Unboxing),Merch
드볼 (Dragon Ball / Collecting All),Merch
분철 (Group Order Splitting),Merch
